"","dynamicColors","mergedColors"
"A1BG","turquoise","turquoise"
"A2M","greenyellow","greenyellow"
"A2ML1","grey","grey"
"A3GALT2","grey","grey"
"A4GALT","purple","purple"
"AAAS","brown","pink"
"AACS","grey","grey"
"AADAT","grey","grey"
"AAGAB","grey","grey"
"AAK1","grey","grey"
"AAMDC","turquoise","turquoise"
"AAMP","magenta","pink"
"AANAT","turquoise","turquoise"
"AAR2","grey","grey"
"AARS","grey","grey"
"AARS2","pink","pink"
"AARSD1","yellow","black"
"AASDH","red","black"
"AASDHPPT","red","black"
"AASS","grey","grey"
"AATF","grey","grey"
"AATK","turquoise","turquoise"
"ABAT","turquoise","turquoise"
"ABCA1","grey","grey"
"ABCA10","grey","grey"
"ABCA12","lightcyan","lightcyan"
"ABCA13","grey","grey"
"ABCA2","brown","pink"
"ABCA3","grey","grey"
"ABCA5","grey","grey"
"ABCA6","grey","grey"
"ABCA7","grey","grey"
"ABCA9","grey","grey"
"ABCB1","grey","grey"
"ABCB10","grey","grey"
"ABCB4","purple","purple"
"ABCB6","purple","purple"
"ABCB7","black","black"
"ABCB8","grey","grey"
"ABCB9","grey","grey"
"ABCC1","grey","grey"
"ABCC10","brown","pink"
"ABCC2","grey","grey"
"ABCC3","turquoise","turquoise"
"ABCC4","grey","grey"
"ABCC5","purple","purple"
"ABCC6","grey","grey"
"ABCD1","turquoise","turquoise"
"ABCD2","greenyellow","greenyellow"
"ABCD3","grey","grey"
"ABCD4","brown","pink"
"ABCE1","black","black"
"ABCF1","grey","grey"
"ABCF2","grey","grey"
"ABCF3","brown","pink"
"ABCG1","grey","grey"
"ABCG2","purple","purple"
"ABHD1","grey","grey"
"ABHD10","red","black"
"ABHD11","turquoise","turquoise"
"ABHD12","magenta","pink"
"ABHD12B","grey","grey"
"ABHD13","pink","pink"
"ABHD14A","pink","pink"
"ABHD14B","tan","tan"
"ABHD15","grey","grey"
"ABHD16A","grey","grey"
"ABHD17A","brown","pink"
"ABHD17B","grey","grey"
"ABHD17C","grey","grey"
"ABHD18","red","black"
"ABHD2","grey","grey"
"ABHD3","grey","grey"
"ABHD4","grey","grey"
"ABHD5","turquoise","turquoise"
"ABHD6","turquoise","turquoise"
"ABHD8","magenta","pink"
"ABI1","blue","black"
"ABI2","grey","grey"
"ABI3","turquoise","turquoise"
"ABL1","pink","pink"
"ABL2","green","black"
"ABLIM1","greenyellow","greenyellow"
"ABLIM3","grey","grey"
"ABO","grey","grey"
"ABR","grey","grey"
"ABRA","lightcyan","lightcyan"
"ABRACL","brown","pink"
"ABT1","magenta","pink"
"ABTB1","grey","grey"
"ABTB2","grey","grey"
"ACAA1","red","black"
"ACAA2","grey","grey"
"ACACA","green","black"
"ACACB","grey","grey"
"ACAD10","grey","grey"
"ACAD11","grey","grey"
"ACAD8","grey","grey"
"ACAD9","grey","grey"
"ACADM","black","black"
"ACADS","magenta","pink"
"ACADSB","green","black"
"ACADVL","brown","pink"
"ACAP1","brown","pink"
"ACAP2","pink","pink"
"ACAP3","brown","pink"
"ACAT1","grey","grey"
"ACAT2","cyan","cyan"
"ACBD3","red","black"
"ACBD4","brown","pink"
"ACBD5","blue","black"
"ACBD6","turquoise","turquoise"
"ACBD7","grey","grey"
"ACCS","grey","grey"
"ACD","brown","pink"
"ACE","grey","grey"
"ACER1","greenyellow","greenyellow"
"ACER2","grey","grey"
"ACER3","turquoise","turquoise"
"ACHE","purple","purple"
"ACIN1","grey","grey"
"ACKR1","purple","purple"
"ACKR2","grey","grey"
