"","p.value","HR","Low 95%CI","High 95%CI"
"FERMT3",7.22915996773451e-06,2.44995383147066,1.65639348443045,3.62370042671453
"GLG1",0.131792892092916,1.44478278348848,0.895317707560488,2.33145985367847
"S100A4",6.3235904004685e-05,1.46105072965149,1.21335761712636,1.75930756479757
"RNF135",0.362046936682514,1.21969513038143,0.795760955100086,1.86947625608128
"ACPP",0.0874504936484966,1.17724665266657,0.976322595318352,1.41952023630338
"FMN1",0.0729220396509564,1.45588825280216,0.965697672914227,2.19490081015821
"ASB2",0.000112113799282949,2.70595918088891,1.63290685029995,4.48415969795945
"MSN",0.00379261967531342,2.43192034688301,1.33243913591872,4.43865420502356
"VSIG4",0.712018871031425,1.02562445482081,0.896697861672493,1.17308802361199
"SAT1",0.00751616403717134,1.30369216063226,1.0733109922154,1.58352356588267
"HCK",0.0012612067261908,1.30955162871931,1.11156537479485,1.54280216635743
"WBP1L",0.0268414490464409,2.19278221845597,1.09421072960222,4.39430333435377
"SEC14L1",0.0273791072008737,1.7505785663429,1.06445910405213,2.87895073213549
"SLC6A6",0.012675242705664,1.59009708685573,1.10421115655471,2.28978735690016
"TMCC3",0.773408174289246,1.06158898267882,0.70674487578515,1.5945940420057
"C3",0.237394186363842,1.33131028597326,0.82817007054954,2.14012452341114
"GIMAP4",0.592772283083325,1.04071048617053,0.899126897975394,1.20458893896304
"GPRIN3",0.0884809208316164,1.23517140965389,0.96869763562562,1.57494800763197
"TRIM26",0.00946281710441786,2.26135625786726,1.22097150395952,4.18824854504137
"CDC42EP2",0.426374546920451,1.14130985785032,0.824054634235329,1.5807061055303
"KCTD5",0.00789078276922351,2.03802427012002,1.20529325676033,3.44608492771495
"SLC2A9",0.147284204890058,1.22006217522603,0.932297147370595,1.5966494326573
"GPR65",0.200862863375406,1.16091965452446,0.923646164660418,1.45914582426344
"SLC12A4",0.11238141985008,1.40690612745476,0.923044800929414,2.14440821233889
"DEGS1",0.0386522870706738,1.80101720857447,1.03117752337667,3.14559124112767
"LYST",0.049247938667621,0.822454424697616,0.67686676951807,0.999356610734939
"SDCBP",0.961804758522251,0.99103555907739,0.685539297088965,1.4326698462457
"PREX1",0.00331758957886801,1.69211705234632,1.19116928542833,2.40373904353287
"LMNTD2",0.0139319172570735,2.01210200946556,1.15245750507467,3.51297508035497
"SULT1B1",0.831613448723139,0.975983372300219,0.780057875860409,1.22111906370517
"YPEL2",0.271135846138272,0.785337961625705,0.510677255837772,1.20772113290736
"SYK",0.00891164002533002,1.64998943630394,1.13371463777371,2.40136719524124
"RAPH1",0.785714399728807,0.860345053324928,0.290892294715485,2.5445624522459
"CARD16",0.00566898718850966,1.39524661217985,1.10195795859834,1.76659471771092
"MYOF",0.00240137875352354,1.25919989397076,1.08508922698553,1.46124791726194
"ZNF703",0.396125197706143,1.11748598368904,0.864599571863727,1.44433904940482
"RAB31",0.0146846479886069,1.19503675477543,1.03567936540884,1.37891406642096
"CXCR2",0.00923127734698656,1.32023179625017,1.07106997823993,1.62735585091669
"IL13RA1",0.128777080366766,1.13527943722893,0.963831277532867,1.33722512501767
"MICAL1",0.0212593258367148,1.37754778204492,1.04890951868842,1.80915308518673
"STARD8",0.00468733479361809,1.45254498355273,1.12138697179924,1.88149762954616
"ZSWIM6",0.860662147546334,1.03144780375956,0.729955950088905,1.45746407266197
"SLC2A6",0.109719369086907,1.18999224515784,0.961552017267457,1.47270404315726
"NECAP2",0.0042635570955779,2.6197338173744,1.35338523533728,5.0709916841857
"LILRB4",0.0013097742618239,1.25620126679237,1.09306917471256,1.44367955770569
