Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"SLC12A3","Solute Carrier Family 12 Member 3","Protein Coding","P55017","60","GC16P056865","52.8366050720215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A3"
"SLC22A5","Solute Carrier Family 22 Member 5","Protein Coding","O76082","59","GC05P132369","48.8007431030273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A5"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","46.5190010070801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"SLC22A4","Solute Carrier Family 22 Member 4","Protein Coding","Q9H015","58","GC05P132294","45.1560668945313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A4"
"SLC12A2","Solute Carrier Family 12 Member 2","Protein Coding","P55011","62","GC05P128083","43.6944236755371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A2"
"SLC11A1","Solute Carrier Family 11 Member 1","Protein Coding","P49279","59","GC02P218382","43.1723518371582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A1"
"SLC12A1","Solute Carrier Family 12 Member 1","Protein Coding","Q13621","61","GC15P166303","41.7415542602539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A1"
"SLC2A2","Solute Carrier Family 2 Member 2","Protein Coding","P11168","63","GC03M170996","39.6852989196777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A2"
"SLC11A2","Solute Carrier Family 11 Member 2","Protein Coding","P49281","61","GC12M050952","39.534423828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A2"
"SLC29A1","Solute Carrier Family 29 Member 1 (Augustine Blood Group)","Protein Coding","Q99808","60","GC06P044219","39.4778213500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC29A1"
"SLC15A1","Solute Carrier Family 15 Member 1","Protein Coding","P46059","54","GC13M098683","38.9716415405273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC15A1"
